model,mode,pr_auc,roc_auc,f1,precision,recall,accuracy,threshold,best_f1,best_f1_threshold,ms_per_1k,val_pr_auc,best_epoch
m1_transformer,transformer,0.41417717719905617,0.8269519207787035,0.3205298013245033,0.8742774566473989,0.1962374310736296,0.9710434517560199,0.5,0.4553199920744997,0.23943130671977997,226.8969568342338,0.3915742799191571,11
m2_sage,transformer+sage,0.41978061616219375,0.8341490435684944,0.35376884422110555,0.7848383500557413,0.22834901070385988,0.9709644280376153,0.5,0.44090202177293936,0.24739667773246765,295.24632332742203,0.4233899947814524,31
m3_gat,transformer+gat,0.4210639378332965,0.8347759652673759,0.37259314828707174,0.8133187772925764,0.24164774570223807,0.9716756415032569,0.5,0.44959128065395093,0.31386396288871765,303.0369624035207,0.40067573748072594,12
m4_sthgnn,transformer+sthgnn,0.40925881486518545,0.8210049386712337,0.3341176470588235,0.8611859838274932,0.20726565034057737,0.9712466556033461,0.5,0.4547041707080504,0.29028260707855225,283.41605272763223,0.4039970723422782,13
